,customer,content,platform,ecosystem,analytics,culture,overall,name,is_public,industry
72,1.9,1.75,1.35,1.65,2.55,2.75,1.9916666666666665,comp_72,False,bank
73,2.75,2.85,1.8,1.8,1.5,2.8,2.25,comp_73,False,insurer
74,1.8,1.85,1.7,3.75,1.8,1.75,2.108333333333334,comp_74,True,public_finance
75,1.7,3.7,1.5,1.3,1.5,1.95,1.9416666666666667,comp_75,False,insurer
76,1.95,1.35,4.4,1.4,1.35,1.6,2.0083333333333333,comp_76,True,public_finance
77,2.7,4.85,1.75,1.85,2.7,2.9,2.7916666666666665,comp_77,False,other
78,3.95,3.8,5.0,2.95,1.95,2.95,3.433333333333333,comp_78,False,bank
79,5.0,5.0,5.0,5.0,5.0,5.0,5.0,comp_79,False,other
80,1.85,1.85,1.55,1.5,1.45,1.6,1.633333333333333,comp_80,True,transportation
81,1.9,1.85,1.55,1.3,1.35,1.85,1.633333333333333,comp_81,False,other
82,2.9,4.9,4.95,2.95,1.9,5.0,3.766666666666666,comp_82,True,communications
83,1.45,1.35,1.65,1.65,1.3,1.6,1.5,comp_83,False,other
84,1.55,1.75,1.4,1.35,1.15,1.2,1.3999999999999997,comp_84,False,insurer
85,3.6,4.75,1.85,1.95,2.85,2.6,2.933333333333333,comp_85,False,bank
86,2.65,5.0,1.95,5.0,2.75,5.0,3.725,comp_86,True,public_finance
87,1.15,1.1,1.15,1.65,1.0,1.55,1.2666666666666666,comp_87,True,public_finance
88,5.0,5.0,3.6,1.7,4.55,5.0,4.141666666666667,comp_88,False,other
89,3.6,1.9,1.9,2.55,1.4,1.95,2.2166666666666663,comp_89,True,other
90,3.8,2.75,1.45,1.55,1.25,1.35,2.025,comp_90,False,card
91,1.85,1.65,1.75,1.35,1.45,1.85,1.6499999999999997,comp_91,True,other
92,1.3,1.45,1.0,1.25,1.0,1.65,1.2750000000000001,comp_92,True,public_finance
93,1.2,1.1,1.1,1.1,3.45,1.05,1.5,comp_93,True,communications
94,1.25,1.25,1.25,1.3,1.25,1.75,1.3416666666666668,comp_94,False,insurer
95,1.35,3.7,2.85,1.9,5.0,1.75,2.7583333333333333,comp_95,True,communications
96,2.85,3.45,1.35,1.35,1.25,1.75,2.0,comp_96,False,other
97,1.45,1.2,1.25,1.65,1.75,1.65,1.4916666666666665,comp_97,True,public_finance
